Governorate,district,popgroup,Sampling.type,Population,stratum
Baghdad,al.adhamiya,host,2 stages random - st1,4182,al.adhamiyahost
Dohuk,al.amadiya,host,2 stages random - st1,500,al.amadiyahost
Basrah,al.basrah,host,2 stages random - st1,2270,al.basrahhost
Qadissiya,al.diwaniya,host,2 stages random - st1,3610,al.diwaniyahost
Anbar,al.falluja,host,2 stages random - st1,4820,al.fallujahost
Ninewa,al.hamdaniya,host,2 stages random - st1,1663,al.hamdaniyahost
Babylon,al.hilla,host,2 stages random - st1,1835,al.hillahost
Kerbala,al.hindiya,host,2 stages random - st1,947,al.hindiyahost
Baghdad,al.kadhmiyah,host,2 stages random - st1,5254,al.kadhmiyahhost
Missan,al.kahla,host,2 stages random - st1,672,al.kahlahost
Baghdad,al.karkh,host,2 stages random - st1,6722,al.karkhhost
Wassit,al.kut,host,2 stages random - st1,3628,al.kuthost
Baghdad,al.mahmoudiya,host,2 stages random - st1,1511,al.mahmoudiyahost
Ninewa,al.mosul,host,Cluster sampling,27559,al.mosulhost
Najaf,al.najaf,host,2 stages random - st1,8530,al.najafhost
Baghdad,al.risafa,host,2 stages random - st1,688,al.risafahost
Ninewa,al.shikhan,host,2 stages random - st1,9678,al.shikhanhost
Salah Al-Din,al.shirqat,host,2 stages random - st1,2248,al.shirqathost
Sulaymaniyah,al.sulaymaniyah,host,2 stages random - st1,2011,al.sulaymaniyahhost
Wassit,al.suwaira,host,2 stages random - st1,627,al.suwairahost
Ninewa,aqra,host,2 stages random - st1,826,aqrahost
Salah Al-Din,balad,host,2 stages random - st1,917,baladhost
Salah Al-Din,baquba,host,2 stages random - st1,4533,baqubahost
Dohuk,duhok,host,Cluster sampling,11472,duhokhost
Erbil,erbil,host,2 stages random - st1,525,erbilhost
Kerbala,kerbela,host,2 stages random - st1,3444,kerbelahost
Kirkuk,kirkuk,host,Cluster sampling,29441,kirkukhost
Salah Al-Din,samarra,host,2 stages random - st1,5827,samarrahost
Dohuk,sumail,host,Cluster sampling,5600,sumailhost
Salah Al-Din,tikrit,host,Cluster sampling,6408,tikrithost
Ninewa,tilkaef,host,2 stages random - st1,3100,tilkaefhost
Salah Al-Din,tooz.khurmato,host,2 stages random - st1,1470,tooz.khurmatohost
Dohuk,zakho,host,Cluster sampling,14414,zakhohost
Baghdad,al.adhamiya,idp,Cluster sampling,880,al.adhamiyaidp
Dohuk,al.amadiya,idp,Cluster sampling,503,al.amadiyaidp
Ninewa,al.baaj,idp,2 stages random - st1,231,al.baajidp
Basrah,al.basrah,idp,Cluster sampling,347,al.basrahidp
Qadissiya,al.diwaniya,idp,Cluster sampling,580,al.diwaniyaidp
Anbar,al.falluja,idp,Cluster sampling,1753,al.fallujaidp
Ninewa,al.hamdaniya,idp,2 stages random - st1,4434,al.hamdaniyaidp
Babylon,al.hilla,idp,Cluster sampling,239,al.hillaidp
Kerbala,al.hindiya,idp,Cluster sampling,804,al.hindiyaidp
Baghdad,al.kadhmiyah,idp,Cluster sampling,2489,al.kadhmiyahidp
Missan,al.kahla,idp,Cluster sampling,203,al.kahlaidp
Baghdad,al.karkh,idp,Cluster sampling,3662,al.karkhidp
Diyala,al.khalis,idp,Cluster sampling,752,al.khalisidp
Najaf,al.kufa,idp,Cluster sampling,544,al.kufaidp
Wassit,al.kut,idp,Cluster sampling,835,al.kutidp
Baghdad,al.mahmoudiya,idp,Cluster sampling,1058,al.mahmoudiyaidp
Ninewa,al.mosul,idp,Cluster sampling,17236,al.mosulidp
Babylon,al.mussyab,idp,Cluster sampling,2414,al.mussyabidp
