"psu","n","new_ID","governorate","district","name","label"
"1101001",1,"cluster_location_id_0001","duhok","al.amadiya","Amedi","0001 (Amedi)"
"1101002",1,"cluster_location_id_0002","duhok","al.amadiya","Aradin","0002 (Aradin)"
"1101004",2,"cluster_location_id_0003","duhok","al.amadiya","Bamarne","0003 (Bamarne)"
"1101005",1,"cluster_location_id_0004","duhok","al.amadiya","Chamanke","0004 (Chamanke)"
"1101008",1,"cluster_location_id_0005","duhok","al.amadiya","Inishke","0005 (Inishke)"
"1101011",1,"cluster_location_id_0006","duhok","al.amadiya","Qadish Collective","0006 (Qadish Collective)"
"1101012",2,"cluster_location_id_0007","duhok","al.amadiya","Sarsink","0007 (Sarsink)"
"1101019",1,"cluster_location_id_0008","duhok","al.amadiya","Mizi Village","0008 (Mizi Village)"
"1101020",1,"cluster_location_id_0009","duhok","al.amadiya","Nahla Area","0009 (Nahla Area)"
"1101023",1,"cluster_location_id_0010","duhok","al.amadiya","Kanika","0010 (Kanika)"
"1101033",1,"cluster_location_id_0011","duhok","al.amadiya","Merstak","0011 (Merstak)"
"1102005",2,"cluster_location_id_0012","duhok","duhok","Bablu","0012 (Bablu)"
"1102010",1,"cluster_location_id_0013","duhok","duhok","Baroshke Complex","0013 (Baroshke Complex)"
"1102016",1,"cluster_location_id_0014","duhok","duhok","Dabin 2","0014 (Dabin 2)"
"1102018",1,"cluster_location_id_0015","duhok","duhok","Eminke","0015 (Eminke)"
"1102022",2,"cluster_location_id_0016","duhok","duhok","Etit","0016 (Etit)"
"1102024",1,"cluster_location_id_0017","duhok","duhok","Khabat Kojar","0017 (Khabat Kojar)"
"1102032",1,"cluster_location_id_0018","duhok","duhok","Masik-1","0018 (Masik-1)"
"1102035",1,"cluster_location_id_0019","duhok","duhok","Mazi","0019 (Mazi)"
"1102036",1,"cluster_location_id_0020","duhok","duhok","Midiya","0020 (Midiya)"
"1102038",1,"cluster_location_id_0021","duhok","duhok","Naor","0021 (Naor)"
"1102039",2,"cluster_location_id_0022","duhok","duhok","Nazarke","0022 (Nazarke)"
"1102041",1,"cluster_location_id_0023","duhok","duhok","Rashanke","0023 (Rashanke)"
"1102044",1,"cluster_location_id_0024","duhok","duhok","Sarheldan","0024 (Sarheldan)"
"1102046",1,"cluster_location_id_0025","duhok","duhok","Shakhke","0025 (Shakhke)"
"1102047",1,"cluster_location_id_0026","duhok","duhok","Shele","0026 (Shele)"
"1102048",1,"cluster_location_id_0027","duhok","duhok","Shindukha","0027 (Shindukha)"
"1102049",1,"cluster_location_id_0028","duhok","duhok","Zawita","0028 (Zawita)"
"1102050",1,"cluster_location_id_0029","duhok","duhok","Avrike","0029 (Avrike)"
"1102052",1,"cluster_location_id_0030","duhok","duhok","Zirka","0030 (Zirka)"
"1102053",1,"cluster_location_id_0031","duhok","duhok","Zozan","0031 (Zozan)"
"1103001",1,"cluster_location_id_0032","duhok","sumail","Avro City","0032 (Avro City)"
"1103004",1,"cluster_location_id_0033","duhok","sumail","Bakhitme","0033 (Bakhitme)"
"1103005",1,"cluster_location_id_0034","duhok","sumail","Basetki","0034 (Basetki)"
"1103007",1,"cluster_location_id_0035","duhok","sumail","Bazalan","0035 (Bazalan)"
"1103009",2,"cluster_location_id_0036","duhok","sumail","Fayda","0036 (Fayda)"
"1103012",1,"cluster_location_id_0037","duhok","sumail","Girsheen","0037 (Girsheen)"
"1103019",1,"cluster_location_id_0038","duhok","sumail","Hawshke","0038 (Hawshke)"
"1103020",1,"cluster_location_id_0039","duhok","sumail","Misereek","0039 (Misereek)"
"1103023",1,"cluster_location_id_0040","duhok","sumail","Seje","0040 (Seje)"
"1103025",2,"cluster_location_id_0041","duhok","sumail","Shariya","0041 (Shariya)"
"1103034",1,"cluster_location_id_0042","duhok","sumail","Domiz-Halat","0042 (Domiz-Halat)"
"1103036",1,"cluster_location_id_0043","duhok","sumail","Kabarto","0043 (Kabarto)"
"1103038",1,"cluster_location_id_0044","duhok","sumail","Khanke Qadima","0044 (Khanke Qadima)"
"1103039",1,"cluster_location_id_0045","duhok","sumail","Kherava","0045 (Kherava)"
"1103042",1,"cluster_location_id_0046","duhok","sumail","Qasr Yazddin","0046 (Qasr Yazddin)"
"1103043",1,"cluster_location_id_0047","duhok","sumail","Old Qasr Yazddin","0047 (Old Qasr Yazddin)"
"1103046",1,"cluster_location_id_0048","duhok","sumail","Old Sorka","0048 (Old Sorka)"
"1104019",2,"cluster_location_id_0049","duhok","zakho","Diraboon","0049 (Diraboon)"
"1104020",1,"cluster_location_id_0050","duhok","zakho","Qarawla","0050 (Qarawla)"
"1104055",2,"cluster_location_id_0051","duhok","zakho","Ashe Chami Sector","0051 (Ashe Chami Sector)"
"1104056",1,"cluster_location_id_0052","duhok","zakho","Bazar Sector","0052 (Bazar Sector)"
"1104057",1,"cluster_location_id_0053","duhok","zakho","Betase Sector","0053 (Betase Sector)"
"1104058",2,"cluster_location_id_0054","duhok","zakho","Bedar Sector","0054 (Bedar Sector)"
"1104059",2,"cluster_location_id_0055","duhok","zakho","Khrababka Sector","0055 (Khrababka Sector)"
"1104060",1,"cluster_location_id_0056","duhok","zakho","Rkawa Sector","0056 (Rkawa Sector)"
"1104061",2,"cluster_location_id_0057","duhok","zakho","Shabaniya Sector","0057 (Shabaniya Sector)"
"1104062",1,"cluster_location_id_0058","duhok","zakho","Abasiya Sector","0058 (Abasiya Sector)"
"1104063",2,"cluster_location_id_0059","duhok","zakho","Firqa Sector","0059 (Firqa Sector)"
"1104064",1,"cluster_location_id_0060","duhok","zakho","Kochka Honari","0060 (Kochka Honari)"
"1104072",2,"cluster_location_id_0061","duhok","zakho","Bersive","0061 (Bersive)"
"1104075",2,"cluster_location_id_0062","duhok","zakho","Bajika","0062 (Bajika)"
"1202004",1,"cluster_location_id_0063","erbil","erbil","Al Eskan","0063 (Al Eskan)"
"1202010",1,"cluster_location_id_0064","erbil","erbil","Bahrka center","0064 (Bahrka center)"
"1202023",1,"cluster_location_id_0065","erbil","erbil","Gazna","0065 (Gazna)"
