research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,indicator
Average number of household members,Average number of household members,district,population_group,categorical,household_number,numerical,direct_reporting,Demographics
% of female respondents,% of female respondents,district,population_group,categorical,gender_respondent_female,numerical,direct_reporting,Demographics
To what extent are the WASH infrastructure and facilities in out-of-camp locations across Iraq adhering to minimum WASH Cluster standards and meeting the needs of the population,% of female hhh,district,population_group,categorical,female_hhh,numerical,direct_reporting,Demographics
To what extent are the WASH infrastructure and facilities in out-of-camp locations across Iraq adhering to minimum WASH Cluster standards and meeting the needs of the population,Average number of children in hh,district,population_group,categorical,children_avg,numerical,direct_reporting,Demographics
Average monthly income (IQD),Average monthly income (IQD),district,population_group,categorical,income_respondent,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,% of households earning an income through employment,district,population_group,categorical,income_from_employment,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Agriculture,district,population_group,categorical,sector_respondent_agriculture,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Livestock,district,population_group,categorical,sector_respondent.livestock,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Commercial,district,population_group,categorical,sector_respondent.commercial,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Manufacturing,district,population_group,categorical,sector_respondent.manufacturing,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Construction,district,population_group,categorical,sector_respondent.construction,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Transportation,district,population_group,categorical,sector_respondent.transportation,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Medical,district,population_group,categorical,sector_respondent.medical,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Education,district,population_group,categorical,sector_respondent.education,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Hotels/Restaurants,district,population_group,categorical,sector_respondent.hotels_restaurants,numerical,direct_reporting,Livelihoods
